sku,status,name,old_quantity,new_quantity,quantity_delta,name_changed,old_name,new_name,location_changed,old_location,new_location
SKU-076,added,Stream Deck Mini,,15,,False,,,False,,
SKU-077,added,Stream Deck XL,,8,,False,,,False,,
SKU-078,added,Capture Card,,12,,False,,,False,,
SKU-079,added,USB-C Hub,,45,,False,,,False,,
SKU-080,added,Thunderbolt Cable,,30,,False,,,False,,
SKU-025,removed,VGA Cable,50,,,False,,,False,,
SKU-026,removed,DVI Cable,35,,,False,,,False,,
SKU-001,changed,Widget A,150,145,-5,False,,,False,,
SKU-002,changed,Widget B,75,70,-5,False,,,False,,
SKU-003,changed,Gadget Pro,200,185,-15,False,,,False,,
SKU-004,changed,Gadget Lite,50,48,-2,False,,,False,,
SKU-005,changed,Connector Cable 6ft,500,480,-20,False,,,False,,
SKU-008,changed,Power Supply Unit Pro,45,42,-3,False,,,False,,
SKU-009,changed,Mounting Bracket Small,1000,975,-25,False,,,False,,
SKU-010,changed,Mounting Bracket Large,750,720,-30,False,,,False,,
SKU-011,changed,LED Panel 12x12,120,115,-5,False,,,False,,
SKU-012,changed,LED Panel 24x24,90,85,-5,False,,,False,,
SKU-013,changed,Thermal Paste Tube,2000,1850,-150,False,,,False,,
SKU-014,changed,Cooling Fan 80mm,300,290,-10,False,,,False,,
SKU-015,changed,Cooling Fan 120mm,250,245,-5,False,,,False,,
SKU-016,changed,USB Hub 4-Port,180,165,-15,False,,,False,,
SKU-017,changed,USB Hub 7-Port,95,88,-7,False,,,False,,
SKU-018,changed,Ethernet Cable Cat5,800,750,-50,False,,,False,,
SKU-019,changed,Ethernet Cable Cat6,600,580,-20,False,,,False,,
SKU-020,changed,Ethernet Cable Cat6a,400,390,-10,False,,,False,,
SKU-021,changed,HDMI Cable 3ft,450,425,-25,False,,,False,,
SKU-022,changed,HDMI Cable 6ft,380,365,-15,False,,,False,,
SKU-023,changed,HDMI Cable 10ft,220,210,-10,False,,,False,,
SKU-024,changed,DisplayPort Cable,175,170,-5,False,,,False,,
SKU-027,changed,Audio Cable 3.5mm,600,575,-25,False,,,False,,
SKU-028,changed,Audio Cable RCA,400,385,-15,False,,,False,,
SKU-029,changed,Optical Audio Cable,150,145,-5,False,,,False,,
SKU-030,changed,Surge Protector 6-Outlet,200,188,-12,False,,,False,,
SKU-031,changed,Surge Protector 12-Outlet,120,112,-8,False,,,False,,
SKU-032,changed,Extension Cord 10ft,300,285,-15,False,,,False,,
SKU-033,changed,Extension Cord 25ft,180,172,-8,False,,,False,,
SKU-034,changed,Power Strip,250,240,-10,False,,,False,,
SKU-035,changed,Cable Ties 100pk,1500,1420,-80,False,,,False,,
SKU-036,changed,Cable Ties 500pk,400,385,-15,False,,,False,,
SKU-037,changed,Velcro Straps 50pk,800,765,-35,False,,,False,,
SKU-038,changed,Label Maker,25,22,-3,False,,,False,,
SKU-039,changed,Label Tape,200,185,-15,False,,,False,,
SKU-040,changed,Screwdriver Set,150,142,-8,False,,,False,,
SKU-041,changed,Precision Screwdriver Set,100,95,-5,False,,,False,,
SKU-042,changed,Wire Stripper,75,70,-5,False,,,False,,
SKU-043,changed,Crimping Tool,60,58,-2,False,,,False,,
SKU-044,changed,Multimeter Basic,40,35,-5,False,,,False,,
SKU-046,changed,Soldering Iron,35,32,-3,False,,,False,,
SKU-047,changed,Solder Wire,300,280,-20,False,,,False,,
SKU-048,changed,Heat Shrink Tubing,500,475,-25,False,,,False,,
SKU-049,changed,Electrical Tape,800,760,-40,False,,,False,,
SKU-050,changed,Anti-Static Wrist Strap,200,190,-10,False,,,False,,
SKU-051,changed,Anti-Static Mat,50,48,-2,False,,,False,,
SKU-052,changed,Compressed Air Can,400,375,-25,False,,,False,,
SKU-053,changed,Isopropyl Alcohol 99%,150,140,-10,False,,,False,,
SKU-054,changed,Microfiber Cloth 10pk,300,285,-15,False,,,False,,
SKU-055,changed,Screen Cleaner,250,235,-15,False,,,False,,
SKU-056,changed,Keyboard Cleaner Gel,180,168,-12,False,,,False,,
SKU-057,changed,Monitor Stand,45,42,-3,False,,,False,,
SKU-058,changed,Laptop Stand,60,58,-2,False,,,False,,
SKU-059,changed,Tablet Stand,80,75,-5,False,,,False,,
SKU-060,changed,Phone Stand,120,115,-5,False,,,False,,
SKU-061,changed,Desk Organizer,90,85,-5,False,,,False,,
SKU-062,changed,Cable Management Box,110,105,-5,False,,,False,,
SKU-063,changed,Headphone Hook,200,192,-8,False,,,False,,
SKU-064,changed,Webcam Mount,75,72,-3,False,,,False,,
SKU-065,changed,Ring Light 10in,40,38,-2,False,,,False,,
SKU-066,changed,Ring Light 18in,25,22,-3,False,,,False,,
SKU-067,changed,Tripod Small,55,52,-3,False,,,False,,
SKU-068,changed,Tripod Large,35,33,-2,False,,,False,,
SKU-069,changed,Green Screen,20,18,-2,False,,,False,,
SKU-070,changed,Backdrop Stand,15,12,-3,False,,,False,,
SKU-071,changed,USB Microphone,30,28,-2,False,,,False,,
SKU-072,changed,XLR Microphone,20,18,-2,False,,,False,,
SKU-073,changed,Pop Filter,100,95,-5,False,,,False,,
SKU-074,changed,Boom Arm,45,42,-3,False,,,False,,
SKU-075,changed,Shock Mount,40,38,-2,False,,,False,,
SKU-006,unchanged,Connector Cable 10ft,350,350,0,False,,,False,,
SKU-007,unchanged,Power Supply Unit,80,80,0,False,,,False,,
